iter	RMSE
0	1033104.053
1	1005441.389
2	980685.2032
3	957244.8929
4	935512.9318
5	915263.0938
6	894874.5294
7	875267.0483
8	857646.7107
9	842233.5166
10	831074.0679
11	817747.3119
12	804091.3807
13	790918.1283
14	776995.6667
15	765633.0438
16	755504.6345
17	746047.3315
18	736782.4806
19	728921.6961
20	721199.5885
21	714038.0398
22	707602.2426
23	696510.4358
24	691988.965
25	685938.0445
26	676915.9477
27	670505.9572
28	660939.0957
29	650150.4924
30	640364.1678
31	635846.0798
32	632679.451
33	628701.7254
34	624593.461
35	619721.2744
36	615288.8012
37	611315.7878
38	608473.67
39	601270.2149
40	594529.8711
41	587312.7652
42	582953.6326
43	581355.7741
44	578811.1312
45	575179.5595
46	569706.7327
47	565546.6507
48	562125.6709
49	559350.5399
50	556363.6935
51	552980.9351
52	548117.324
53	545133.0631
54	543684.5718
55	538656.6439
56	537018.8801
57	534584.5621
58	532360.9458
59	528814.9555
60	526460.6285
61	524591.2519
62	523024.3582
63	521687.1522
64	516873.8078
65	513164.1641
66	511857.9735
67	510332.3943
68	509003.8987
69	506105.5697
70	501728.4295
71	500625.9829
72	497732.8939
73	494836.7572
74	491375.0708
75	488612.6285
76	487322.4973
77	485530.5713
78	484430.2325
79	483439.9369
80	480572.2298
81	478515.813
82	476225.2443
83	474347.299
84	471974.5291
85	469924.4561
86	468112.8031
87	466918.0115
88	465628.2586
89	464735.7635
90	462766.87
91	460476.3397
92	459182.211
93	457597.1024
94	456990.4971
95	456342.4886
96	454814.1998
97	453508.2667
98	452399.5373
99	450701.2223
100	448904.6025
101	448059.3771
102	446760.1833
103	446017.8652
104	445651.6946
105	444737.062
106	443910.9631
107	443278.5699
108	442525.8529
109	441862.3266
110	441393.3331
111	439467.9656
112	438920.5795
113	437811.084
114	437103.4373
115	436749.1706
116	435752.7935
117	434890.1128
118	434554.2214
119	433199.985
120	431718.0725
121	430952.1346
122	429710.3179
123	427965.3807
124	426949.2292
125	425469.7091
126	425010.2532
127	423779.6403
128	422242.4839
129	421821.1114
130	420696.9147
131	419021.9771
132	417304.4726
133	416288.899
134	414933.5785
135	414385.2631
136	413466.4335
137	413128.517
138	412017.1854
139	411183.8813
140	410391.3757
141	409358.0148
142	408061.1176
143	407043.6461
144	405518.0522
145	405095.0961
146	404349.9328
147	403594.9769
148	402284.753
149	401523.7821
150	401076.869
151	399907.8871
152	398474.604
153	397380.4427
154	396665.5193
155	396356.5549
156	395948.299
157	395487.2679
158	394200.0228
159	393696.8144
160	393143.2541
161	392589.9694
162	391315.8878
163	390957.6176
164	389444.3621
165	388684.9194
166	388377.9049
167	387547.4492
168	386701.4709
169	385902.5705
170	385739.2759
171	385143.1603
172	384303.1836
173	383916.9109
174	383323.3936
175	382763.4838
176	381855.8995
177	381157.9095
178	379903.514
179	379121.0132
180	378471.4609
181	377196.9961
182	376850.2861
183	376147.8227
184	375725.0528
185	375028.2366
186	373642.7017
187	372934.4377
188	372611.7303
189	372169.8023
190	371108.7051
191	370888.8802
192	370331.3406
193	369893.7623
194	369533.4174
195	369193.037
196	368695.9093
197	367796.1402
198	367258.8894
199	366699.325
200	366192.1373
201	365542.488
202	365191.417
203	364795.7825
204	364357.3005
205	363881.1937
206	362880.7985
207	362394.7016
208	361408.5222
209	360684.6853
210	360027.6578
211	359479.8825
212	359035.4374
213	358822.198
214	358380.5313
215	357507.075
216	356625.278
217	356208.1688
218	355506.3323
219	354942.5038
220	354637.2615
221	354211.5188
222	353816.6856
223	353252.3115
224	352954.9911
225	352601.6622
226	352052.8033
227	351725.4564
228	350980.8355
229	350407.6841
230	349797.7434
231	349569.2887
232	349260.8444
233	349052.9126
234	348775.0797
235	348126.5928
236	347709.3152
237	347213.0874
238	346649.7737
239	346069.9766
240	345824.7016
241	345294.8297
242	344407.6998
243	344149.8076
244	343875.108
245	343649.6402
246	343345.8689
247	342742.5107
248	342305.9062
249	342045.0836
250	341409.649
251	340590.7436
252	339770.5079
253	339593.3545
254	339075.6032
255	338596.5789
256	338148.1824
257	337876.1661
258	337494.0903
259	337073.0584
260	336321.9826
261	335906.464
262	335468.4402
263	335095.0509
264	334699.78
265	334420.9622
266	334179.6184
267	333727.1571
268	333501.1395
269	333145.6921
270	332697.2332
271	331930.393
272	331699.342
273	331476.6693
274	331057.1845
275	330817.4485
276	330447.1894
277	330127.6352
278	329832.4689
279	329409.2023
280	328465.3211
281	328257.9644
282	327912.4499
283	327701.1582
284	327377.9545
285	327123.521
286	326736.318
287	326547.8997
288	326218.7628
289	325538.7749
290	325369.03
291	325170.7732
292	324877.4044
293	324580.0977
294	324278.0481
295	323882.4981
296	323547.7628
297	323356.0523
298	323074.3866
299	322863.1338
300	322577.9272
301	322422.5182
302	322152.6702
303	321856.371
304	321586.8759
305	321232.7129
306	320564.2741
307	320194.8106
308	319953.9079
309	319678.9676
310	319146.7173
311	318610.4453
312	318352.9848
313	318163.265
314	317722.2584
315	317420.5371
316	317200.2709
317	316881.151
318	316594.2606
319	316111.0567
320	315828.6855
321	315613.9876
322	315371.3751
323	314875.0161
324	314596.6999
325	314076.436
326	313843.4748
327	313655.0388
328	313412.5427
329	313225.2762
330	312827.6863
331	312656.6229
332	312452.2922
333	312137.847
334	311895.6321
335	311733.8553
336	311296.8622
337	310968.4391
338	310748.6675
339	310511.4376
340	310343.2434
341	309364.2163
342	309177.3435
343	309000.1189
344	308534.7659
345	308125.5615
346	307767.3015
347	307618.4497
348	307313.1243
349	306853.9641
350	306648.1833
351	306356.1229
352	305825.2323
353	305657.7777
354	305191.8936
355	304920.3819
356	304765.8304
357	304579.2308
358	304393.6085
359	304069.8441
360	303856.9887
361	303569.1012
362	303466.0591
363	303217.9352
364	303110.9828
365	302760.7463
366	302542.4002
367	302447.6089
368	302133.6081
369	301923.9882
370	301748.3268
371	301620.6558
372	301460.4317
373	300652.2741
374	300468.7448
375	300239.3814
376	299953.6867
377	299777.9773
378	299604.0083
379	299372.9944
380	299201.5407
381	298913.4
382	298761.0909
383	298600.6743
384	298426.179
385	298258.9221
386	298027.3524
387	297402.0973
388	297245.5599
389	297114.4385
390	296764.5883
391	296227.7807
392	295944.7292
393	295679.6687
394	295495.3683
395	295253.621
396	294967.777
397	294830.3573
398	294593.1208
399	294437.9883
400	294241.817
401	294054.4866
402	293894.3081
403	293719.5672
404	293582.4779
405	293453.4294
406	293243.0304
407	292914.7283
408	292773.8091
409	292629.3837
410	292462.8951
411	292302.0697
412	292021.3052
413	291620.9739
414	291221.9972
415	291094.7514
416	290952.6672
417	290796.4365
418	290621.8677
419	290313.1817
420	290133.4532
421	289947.1521
422	289335.618
423	289241.8858
424	289117.6797
425	288953.0293
426	288804.2206
427	288682.8434
428	288492.6343
429	288326.7099
430	288133.7885
431	287997.2021
432	287865.3632
433	287730.7617
434	287603.1609
435	287397.7109
436	287035.4431
437	286928.6855
438	286816.6771
439	286701.8382
440	286517.9234
441	286406.2018
442	286137.6858
443	285971.0058
444	285645.9298
445	285585.1238
446	285423.2085
447	285320.5047
448	284995.1503
449	284744.4186
450	284598.3012
