iter	Passed	Remaining
0	121	121557
1	128	63890
2	134	44612
3	141	35143
4	147	29365
5	154	25580
6	160	22766
7	167	20722
8	173	19080
9	180	17888
10	186	16810
11	194	16001
12	199	15151
13	204	14405
14	208	13671
15	211	13027
16	215	12450
17	219	11958
18	223	11519
19	226	11120
20	230	10750
21	234	10409
22	239	10159
23	243	9883
24	246	9624
25	250	9397
26	255	9193
27	258	8960
28	261	8752
29	264	8565
30	267	8375
31	271	8218
32	275	8068
33	278	7922
34	282	7781
35	285	7650
36	288	7516
37	292	7395
38	295	7286
39	299	7187
40	302	7080
41	306	6991
42	310	6910
43	314	6822
44	317	6730
45	320	6648
46	324	6575
47	328	6506
48	331	6438
49	336	6384
50	341	6350
51	345	6306
52	349	6245
53	354	6210
54	360	6195
55	364	6149
56	368	6095
57	372	6043
58	375	5995
59	380	5954
60	383	5905
61	387	5861
62	390	5814
63	394	5765
64	397	5721
65	401	5680
66	404	5636
67	408	5594
68	412	5563
69	416	5534
70	420	5500
71	424	5467
72	429	5455
73	434	5439
74	438	5411
75	443	5386
76	448	5372
77	452	5354
78	457	5331
79	462	5318
80	466	5294
81	470	5263
82	473	5235
83	477	5207
84	482	5192
85	486	5166
86	491	5153
87	496	5142
88	500	5122
89	503	5093
90	507	5064
91	510	5036
92	513	5010
93	517	4988
94	521	4963
95	524	4938
96	528	4917
97	532	4897
98	536	4879
99	541	4870
100	545	4859
101	550	4842
102	554	4829
103	559	4816
104	563	4806
105	568	4791
106	571	4770
107	575	4750
108	579	4733
109	582	4716
110	586	4700
111	590	4685
112	594	4665
113	599	4656
114	604	4649
115	608	4637
116	613	4627
117	618	4622
118	622	4611
119	627	4599
120	631	4586
121	636	4581
122	640	4568
123	645	4560
124	650	4554
125	655	4546
126	660	4537
127	665	4531
128	669	4522
129	674	4515
130	680	4512
131	684	4503
132	689	4497
133	695	4493
134	699	4484
135	704	4474
136	709	4469
137	714	4464
138	719	4454
139	724	4449
140	729	4444
141	733	4434
142	739	4429
143	744	4425
144	748	4416
145	754	4411
146	759	4406
147	763	4397
148	767	4383
149	771	4369
150	774	4354
151	778	4341
152	781	4328
153	785	4314
154	789	4301
155	792	4289
156	797	4279
157	801	4273
158	807	4269
159	810	4256
160	816	4252
161	821	4247
162	825	4239
163	830	4233
164	835	4230
165	840	4223
166	845	4218
167	850	4213
168	854	4203
169	859	4194
170	863	4186
171	868	4180
172	872	4172
173	877	4165
174	882	4160
175	887	4153
176	892	4150
177	897	4146
178	902	4137
179	905	4124
180	910	4118
181	915	4113
182	918	4101
183	923	4096
184	928	4091
185	933	4083
186	937	4077
187	943	4074
188	947	4067
189	953	4062
190	958	4059
191	961	4047
192	965	4035
193	968	4024
194	972	4013
195	975	4002
196	979	3991
197	982	3980
198	986	3971
199	990	3962
200	994	3952
201	998	3944
202	1002	3936
203	1007	3932
204	1012	3924
205	1016	3917
206	1021	3913
207	1025	3905
208	1030	3900
209	1035	3895
210	1039	3887
211	1044	3882
212	1049	3878
213	1054	3873
214	1059	3867
215	1064	3863
216	1069	3858
217	1073	3852
218	1078	3847
219	1084	3843
220	1088	3835
221	1091	3826
222	1096	3822
223	1101	3815
224	1105	3808
225	1110	3803
226	1115	3798
227	1119	3790
228	1124	3785
229	1129	3780
230	1133	3773
231	1137	3766
232	1142	3762
233	1148	3759
234	1152	3751
235	1155	3741
236	1159	3731
237	1162	3721
238	1165	3712
239	1169	3702
240	1172	3692
241	1176	3683
242	1179	3674
243	1183	3665
244	1186	3657
245	1192	3653
246	1196	3647
247	1201	3643
248	1206	3639
249	1210	3632
250	1215	3628
251	1221	3624
252	1225	3617
253	1229	3612
254	1233	3604
255	1237	3596
256	1240	3587
257	1244	3579
258	1248	3573
259	1254	3569
260	1258	3562
261	1262	3556
262	1267	3552
263	1271	3545
264	1276	3540
265	1281	3535
266	1286	3530
267	1290	3525
268	1295	3519
269	1300	3515
270	1304	3508
271	1308	3501
272	1311	3493
273	1315	3486
274	1319	3477
275	1322	3469
276	1326	3461
277	1329	3453
278	1333	3445
279	1337	3438
280	1340	3430
281	1345	3425
282	1348	3416
283	1351	3408
284	1355	3399
285	1359	3393
286	1363	3386
287	1366	3378
288	1369	3369
289	1373	3361
290	1376	3353
291	1379	3345
292	1383	3337
293	1386	3330
294	1391	3326
295	1395	3318
296	1398	3310
297	1402	3303
298	1405	3295
299	1408	3287
300	1412	3280
301	1416	3273
302	1419	3266
303	1424	3260
304	1427	3252
305	1431	3245
306	1435	3239
307	1438	3232
308	1441	3224
309	1445	3216
310	1448	3210
311	1452	3202
312	1456	3197
313	1460	3190
314	1463	3182
315	1468	3178
316	1472	3172
317	1475	3165
318	1479	3158
319	1482	3150
320	1486	3143
321	1489	3136
322	1493	3129
323	1496	3122
324	1500	3116
325	1504	3109
326	1507	3103
327	1511	3096
328	1516	3092
329	1519	3085
330	1524	3080
331	1528	3074
332	1532	3069
333	1535	3062
334	1539	3055
335	1545	3054
336	1549	3047
337	1552	3040
338	1555	3033
339	1559	3027
340	1563	3020
341	1566	3014
342	1570	3008
343	1574	3001
344	1577	2995
345	1581	2988
346	1584	2982
347	1588	2976
348	1592	2970
349	1596	2965
350	1600	2960
351	1605	2955
352	1610	2952
353	1615	2948
354	1620	2943
355	1624	2939
356	1630	2935
357	1634	2931
358	1640	2928
359	1645	2924
360	1649	2919
361	1654	2915
362	1659	2912
363	1664	2907
364	1669	2904
365	1674	2900
366	1678	2895
367	1683	2891
368	1689	2888
369	1693	2883
370	1698	2880
371	1704	2876
372	1708	2871
373	1712	2866
374	1716	2861
375	1721	2856
376	1725	2851
377	1730	2847
378	1734	2842
379	1738	2836
380	1742	2830
381	1745	2824
382	1749	2818
383	1752	2811
384	1756	2805
385	1759	2799
386	1763	2792
387	1766	2786
388	1770	2780
389	1773	2774
390	1776	2767
391	1780	2761
392	1783	2755
393	1787	2749
394	1790	2743
395	1794	2737
396	1800	2734
397	1804	2729
398	1809	2725
399	1814	2722
400	1818	2716
401	1823	2712
402	1828	2709
403	1833	2704
404	1838	2700
405	1843	2696
406	1847	2691
407	1852	2687
408	1856	2683
409	1861	2679
410	1866	2674
411	1871	2670
412	1876	2666
413	1880	2661
414	1885	2658
415	1890	2654
416	1895	2649
417	1900	2646
418	1905	2642
419	1910	2637
420	1915	2634
421	1920	2630
422	1925	2625
423	1929	2621
424	1933	2615
425	1937	2610
426	1941	2604
427	1944	2598
428	1947	2592
429	1951	2586
430	1954	2580
431	1957	2574
432	1961	2568
433	1965	2563
434	1968	2556
435	1971	2550
436	1975	2544
437	1979	2539
438	1982	2533
439	1986	2527
440	1989	2521
441	1993	2516
442	1997	2510
443	2001	2505
444	2005	2500
445	2010	2497
446	2015	2493
447	2019	2488
448	2024	2484
449	2029	2480
450	2033	2475
451	2039	2472
452	2044	2468
453	2049	2464
454	2053	2460
455	2059	2456
456	2063	2452
457	2068	2447
458	2073	2444
459	2078	2440
460	2082	2435
461	2087	2431
462	2093	2427
463	2097	2422
464	2102	2418
465	2107	2415
466	2111	2410
467	2117	2406
468	2122	2403
469	2128	2399
470	2131	2394
471	2135	2388
472	2138	2382
473	2141	2376
474	2145	2371
475	2149	2366
476	2152	2360
477	2155	2354
478	2159	2348
479	2163	2343
480	2166	2338
481	2170	2332
482	2173	2326
483	2177	2321
484	2180	2315
485	2184	2309
486	2187	2304
487	2190	2298
488	2194	2293
489	2197	2287
490	2201	2281
491	2204	2276
492	2208	2271
493	2212	2266
494	2216	2261
495	2220	2256
496	2225	2252
497	2230	2248
498	2234	2243
499	2239	2239
500	2244	2235
501	2249	2231
502	2254	2227
503	2259	2223
504	2264	2219
505	2268	2214
506	2273	2210
507	2278	2206
508	2283	2202
509	2288	2198
510	2293	2195
511	2297	2190
512	2303	2186
513	2308	2182
