AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,BUILDTYPE,MZZONE,REG_FEE,COMMIS,SALES_PRICE,PARK_FACIL
4,1004,1,1,3,0,0,0,380000,144400,7600000,1
1,1986,2,1,5,0,0,3,760122,304049,21717770,0
0,909,1,1,3,0,0,4,421094,92114,13159200,1
6,1855,3,2,5,2,2,2,356321,77042,9630290,0
4,1226,1,1,3,0,2,1,237000,74063,7406250,1
2,1220,2,1,4,4,0,3,409027,198316,12394750,0
2,1167,1,1,3,4,2,4,263152,33955,8488790,0
6,1847,3,2,5,2,0,5,604809,235204,16800250,0
2,771,1,1,2,1,2,5,257578,33236,8308970,0
6,1635,2,1,4,0,2,2,323346,121255,8083650,0
2,1203,2,1,4,1,0,5,403326,119504,14938000,1
2,1054,1,1,3,4,2,5,245693,141746,9449730,0
2,1196,1,1,3,2,2,4,289554,35097,8774370,0
0,1056,1,1,3,4,2,3,319141,37546,9386490,1
6,1865,3,2,5,2,0,5,619987,294494,15499680,0
6,1868,3,2,5,2,0,3,597135,188569,15714080,0
4,1639,2,2,4,3,1,2,285648,77904,8656000,1
2,796,1,1,2,1,0,4,316464,130951,10912550,1
0,1136,1,1,3,3,2,0,323214,49725,8287550,1
1,1902,2,1,5,2,0,4,742113,212032,21203240,1
2,1069,1,1,3,0,2,5,283544,43622,10905530,1
2,931,1,1,3,0,2,4,248021,27558,9185970,1
3,2010,3,2,5,4,2,3,327762,262210,10925400,0
2,1074,1,1,3,0,2,4,288821,86646,9627380,0
5,1972,2,1,5,1,2,3,487297,167073,13922760,0
5,1685,1,1,4,2,1,5,352830,176415,12601080,0
0,1130,1,1,3,2,0,3,468417,53533,13383350,1
4,1301,1,1,3,3,2,1,357283,71457,7939625,1
0,730,1,1,2,1,1,4,265449,53090,8848285,1
5,1806,2,1,5,2,1,3,430852,113382,11338200,0
1,1981,2,1,5,1,1,4,373300,218831,12872430,0
0,868,1,1,3,3,2,4,325514,72336,9042050,0
5,1721,1,1,4,1,2,5,416483,223116,14874380,1
6,1755,2,1,4,1,2,0,306671,173780,10222380,1
1,1709,1,1,4,2,2,3,452501,90500,12928590,0
3,2114,3,2,5,1,0,3,632334,281037,17564820,1
4,1226,1,1,3,3,1,0,154109,114339,4971250,0
6,1648,2,1,4,2,2,1,275120,82536,9170660,1
2,856,1,1,3,1,2,5,332269,103834,10383420,1
0,904,1,1,3,1,0,5,348042,23203,11601400,0
2,1198,1,1,3,3,2,3,255727,98991,8249260,0
4,931,1,1,3,1,0,0,291669,166668,6944500,0
4,1290,1,1,3,1,1,3,364015,92940,7745000,1
4,507,1,1,2,0,1,3,252032,74464,5728000,1
3,2492,4,2,6,0,0,4,917550,224706,18725520,0
4,851,1,1,2,4,1,1,167896,39295,3572250,0
5,1882,2,1,5,0,2,5,433393,272877,16051580,1
1,1710,1,1,4,3,0,3,808639,161728,20215970,1
4,1412,2,2,4,1,1,4,251370,192717,8379000,0
0,779,1,1,2,3,1,1,190463,31744,5290635,0
5,1655,1,1,4,0,2,3,376468,238430,12548930,0
4,940,1,1,3,1,1,3,263599,64435,5857750,0
3,1667,2,1,4,4,1,5,364810,268243,10729700,1
3,1926,3,2,5,2,0,5,816325,153061,17006780,1
0,718,1,1,2,4,2,1,211662,55701,5570050,1
4,545,1,1,2,4,2,3,165738,88651,3854375,0
4,1249,1,1,3,1,2,3,318010,120328,8594875,1
5,1894,2,1,5,4,1,4,406478,162591,13549250,1
4,1469,2,2,4,0,0,1,284423,132731,9480750,0
0,916,1,1,3,3,1,0,228053,23390,5847520,1
2,934,1,1,3,1,1,5,310749,58265,9710900,1
4,1691,2,2,4,0,1,5,319558,178576,9398750,0
4,1236,1,1,3,3,0,2,334638,114481,8806250,0
5,1577,1,1,4,4,2,3,302183,193397,12087330,1
1,1915,2,1,5,4,2,3,354391,170107,14175620,1
1,1600,1,1,4,2,1,3,309941,166891,11920820,1
6,1579,2,1,4,0,0,2,467766,240565,13364730,1
0,1260,2,2,4,4,2,0,256150,34615,6922975,0
0,1021,1,1,3,3,0,2,361868,175098,11673175,0
3,2174,3,2,5,2,2,5,548929,313674,13069740,1
1,1589,1,2,4,4,2,4,451857,85486,12212350,0
0,668,1,1,2,0,0,2,329074,102836,10283575,1
6,1724,2,1,4,0,1,4,358259,152260,8956480,1
0,890,1,1,3,0,1,1,251557,43124,7187350,1
0,1218,2,2,4,3,0,2,377246,138323,12574850,0
1,1792,1,1,4,2,1,5,514532,250313,13906270,1
4,1378,2,2,4,1,2,5,297525,208268,9917500,0
4,898,1,1,3,4,0,3,345190,215744,8629750,1
1,1928,2,1,5,4,1,3,466682,105003,11667050,0
2,1233,2,1,4,0,1,5,245429,107989,9817150,0
6,1618,2,1,4,1,2,1,370522,92631,9263050,1
4,627,1,1,2,2,1,5,223975,92225,6587500,0
6,1563,2,1,4,2,1,5,303780,195987,9799360,0
4,1693,2,2,4,3,0,1,384045,166420,12801500,1
5,1522,1,1,4,4,0,4,506181,174545,17454510,0
0,1090,1,1,3,4,2,3,373632,98324,9832420,1
2,1085,1,1,3,0,0,4,387815,100545,14363500,1
5,1687,1,1,4,0,2,3,411733,224582,12476770,0
0,692,1,1,2,3,0,3,394491,124576,10381355,1
5,1518,1,1,4,2,0,3,457606,158402,17600240,1
0,1025,1,1,3,4,0,2,349916,142153,10934875,0
3,2170,3,2,5,2,1,4,593864,284560,12372160,1
2,969,1,1,3,2,0,3,337463,146234,11248750,1
3,1546,2,1,4,0,0,5,441475,142411,14241140,0
3,1709,2,1,4,0,1,4,467388,233694,10160600,1
5,1659,1,1,4,1,2,4,433251,216625,13539080,1
2,755,1,1,2,3,0,5,289649,42911,10727750,0
0,1182,1,1,3,3,1,4,374948,39468,9867055,1
0,735,1,1,2,1,0,3,284361,132702,9478710,0
2,1089,1,1,3,3,1,4,235305,45251,9050200,1
6,1534,2,1,4,4,2,1,284552,63234,7904210,1
1,1622,1,1,4,2,1,4,378840,209015,13063450,1
3,2198,3,2,5,4,2,5,679249,122265,13584980,1
2,1293,2,1,4,3,0,4,419714,157393,13116050,0
3,1641,2,1,4,4,2,4,460580,190239,10012600,0
6,1950,3,2,5,1,2,4,411601,84741,12105920,1
4,1245,1,1,3,4,2,0,201653,113123,4918375,0
2,905,1,1,3,2,2,3,223393,77032,7703200,0
3,1496,2,1,4,2,1,3,265641,137105,8569080,0
6,1892,3,2,5,1,1,5,449425,133613,12146620,1
6,1517,2,1,4,2,0,1,408507,116716,11671620,0
0,1034,1,1,3,1,2,1,277702,46284,9256740,1
6,1755,2,1,4,2,0,2,581720,193907,14915900,1
1,1622,1,1,4,1,1,5,406434,243860,13547790,1
2,1092,1,1,3,3,2,3,246391,57491,8213040,0
2,821,1,1,3,1,1,3,182600,65736,7304000,0
3,1694,2,1,4,2,2,4,353291,114300,10390900,0
1,1809,2,1,5,2,0,4,518585,230482,19206870,0
4,1401,2,2,4,4,2,4,438477,229204,9965375,1
4,1470,2,2,4,0,2,3,302694,172968,7207000,0
2,798,1,1,2,4,0,3,253975,145129,9070550,0
2,764,1,1,2,4,1,3,158766,90723,5670200,0
2,1135,1,1,3,0,2,5,296102,148051,9253200,0
4,939,1,1,3,0,1,2,214700,38646,4294000,0
4,1586,2,2,4,3,0,5,586956,200424,14316000,1
5,1973,2,1,5,2,0,5,885666,116535,23307000,1
2,1023,1,1,3,4,1,5,282319,38941,9735150,1
2,884,1,1,3,3,0,5,283410,45346,11336400,0
1,1640,1,1,4,1,0,3,495645,194718,17701600,0
0,622,1,1,2,3,2,4,216906,72302,6572900,0
1,1880,2,1,5,4,1,5,483229,214768,13423020,1
3,2413,4,2,6,0,2,5,419905,170587,13122040,0
